iter	Passed	Remaining
0	153	30563
1	157	15548
2	162	10641
3	166	8180
4	169	6629
5	172	5592
6	175	4848
7	183	4412
8	185	3936
9	186	3549
10	188	3231
11	189	2966
12	190	2742
13	191	2550
14	193	2390
15	195	2247
16	197	2123
17	198	2007
18	199	1903
19	201	1809
20	202	1724
21	203	1647
22	204	1576
23	206	1511
24	207	1452
25	209	1403
26	211	1355
27	213	1310
28	215	1268
29	216	1226
30	217	1186
31	220	1155
32	221	1122
33	223	1090
34	225	1061
35	226	1033
36	228	1006
37	230	983
38	232	959
39	234	936
40	235	912
41	236	890
42	237	867
43	238	846
44	239	825
45	240	805
46	241	786
47	242	767
48	243	750
49	244	734
50	245	718
51	247	703
52	248	688
53	249	674
54	250	659
55	251	646
56	252	632
57	253	619
58	254	607
59	255	595
60	255	582
61	256	571
62	257	560
63	258	549
64	259	539
65	260	529
66	261	519
67	262	510
68	263	500
69	264	491
70	265	482
71	266	474
72	267	465
73	268	457
74	269	449
75	270	441
76	271	433
77	272	426
78	273	418
79	274	411
80	275	404
81	276	397
82	276	390
83	277	383
84	278	377
85	279	370
86	280	364
87	281	358
88	282	352
89	283	346
90	284	340
91	285	335
92	286	329
93	287	324
94	288	319
95	289	313
96	290	308
97	291	303
98	292	298
99	293	293
100	294	288
101	295	283
102	296	279
103	297	274
104	298	269
105	299	265
106	300	261
107	301	256
108	302	252
109	303	248
110	304	244
111	305	239
112	306	235
113	307	231
114	308	227
115	309	223
116	310	219
117	311	216
118	311	212
119	312	208
120	313	204
121	315	201
122	316	198
123	319	195
124	320	192
125	321	188
126	322	185
127	323	182
128	324	178
129	325	175
130	326	171
131	327	168
132	328	165
133	329	162
134	330	159
135	331	155
136	332	152
137	333	149
138	334	146
139	335	143
140	336	140
141	337	137
142	338	134
143	339	131
144	339	128
145	341	126
146	341	123
147	342	120
148	343	117
149	344	114
150	345	112
151	346	109
152	347	106
153	348	104
154	349	101
155	350	98
156	351	96
157	352	93
158	353	91
159	354	88
160	355	86
161	356	83
162	357	81
163	358	78
164	359	76
165	360	73
166	361	71
167	362	68
168	363	66
169	364	64
170	365	61
171	366	59
172	367	57
173	367	54
174	368	52
175	369	50
176	371	48
177	372	46
178	373	43
179	374	41
180	375	39
181	376	37
182	377	35
183	378	32
184	379	30
185	380	28
186	381	26
187	382	24
188	383	22
189	384	20
190	385	18
191	386	16
192	387	14
193	387	11
194	388	9
195	389	7
196	390	5
197	391	3
198	392	1
199	393	0
