iter	Passed	Remaining
0	158	158734
1	160	80071
2	161	53647
3	162	40535
4	164	32641
5	170	28274
6	173	24654
7	176	21899
8	185	20401
9	190	18877
10	193	17413
11	201	16577
12	202	15406
13	208	14665
14	219	14408
15	221	13599
16	223	12934
17	230	12599
18	237	12257
19	239	11724
20	246	11490
21	252	11229
22	254	10799
23	260	10599
24	262	10220
25	264	9910
26	266	9608
27	269	9342
28	276	9241
29	277	8967
30	278	8708
31	280	8486
32	283	8314
33	292	8307
34	294	8110
35	296	7937
36	297	7750
37	299	7584
38	309	7637
39	311	7470
40	312	7313
41	314	7163
42	323	7190
43	326	7088
44	327	6958
45	329	6827
46	337	6848
47	339	6735
48	343	6660
49	347	6603
50	351	6533
51	359	6546
52	367	6559
53	371	6499
54	372	6407
55	374	6311
56	382	6324
57	385	6260
58	387	6186
59	389	6098
60	390	6015
61	393	5957
62	395	5886
63	396	5804
64	398	5725
65	399	5648
66	400	5574
67	405	5551
68	407	5493
69	408	5428
70	410	5367
71	412	5311
72	414	5258
73	415	5202
74	416	5141
75	418	5088
76	420	5037
77	421	4985
78	423	4939
79	425	4894
80	427	4847
81	431	4832
82	432	4777
83	434	4732
84	435	4688
85	436	4644
86	438	4606
87	440	4560
88	441	4520
89	442	4477
90	443	4435
91	445	4394
92	446	4354
93	447	4316
94	448	4276
95	450	4238
96	452	4208
97	453	4177
98	455	4141
99	456	4106
100	457	4075
101	459	4044
102	468	4083
103	470	4053
104	472	4028
105	474	3999
106	476	3979
107	485	4012
108	489	4005
109	501	4061
110	505	4047
111	508	4029
112	517	4059
113	520	4047
114	528	4064
115	530	4039
116	531	4009
117	534	3992
118	536	3975
119	547	4012
120	549	3989
121	550	3963
122	552	3939
123	557	3940
124	559	3914
125	560	3888
126	562	3864
127	563	3841
128	565	3816
129	566	3791
130	567	3766
131	573	3769
132	574	3745
133	575	3720
134	577	3698
135	578	3677
136	580	3656
137	581	3634
138	583	3612
139	588	3616
140	590	3594
141	590	3570
142	592	3549
143	593	3527
144	594	3506
145	596	3486
146	597	3466
147	602	3466
148	604	3454
149	606	3435
150	608	3419
151	609	3399
152	610	3381
153	612	3364
154	619	3378
155	621	3362
156	622	3344
157	624	3325
158	625	3309
159	635	3335
160	636	3316
161	641	3317
162	643	3303
163	648	3305
164	650	3291
165	651	3273
166	652	3257
167	654	3241
168	655	3224
169	657	3208
170	658	3191
171	659	3174
172	664	3178
173	666	3162
174	667	3146
175	668	3130
176	669	3114
177	671	3099
178	672	3083
179	673	3068
180	675	3054
181	681	3062
182	682	3047
183	683	3032
184	684	3017
185	686	3002
186	687	2988
187	688	2974
188	690	2962
189	695	2965
190	697	2953
191	698	2941
192	700	2929
193	701	2915
194	703	2902
195	705	2892
196	710	2896
197	711	2883
198	713	2870
199	714	2857
200	715	2844
201	716	2831
202	719	2823
203	720	2811
204	725	2813
205	727	2805
206	729	2796
207	732	2787
208	733	2776
209	734	2763
210	736	2753
211	741	2755
212	744	2750
213	746	2742
214	748	2731
215	749	2721
216	751	2710
217	756	2713
218	758	2703
219	759	2692
220	760	2681
221	762	2671
222	765	2666
223	772	2677
224	774	2667
225	776	2657
226	777	2646
227	778	2635
228	779	2624
229	780	2613
230	782	2605
231	785	2600
232	787	2591
233	788	2580
234	789	2571
235	790	2560
236	792	2552
237	794	2542
238	795	2531
239	799	2532
240	801	2522
241	802	2513
242	803	2504
243	805	2494
244	806	2484
245	807	2476
246	809	2466
247	810	2456
248	814	2457
249	817	2451
250	818	2442
251	819	2432
252	820	2423
253	821	2413
254	823	2405
255	824	2396
256	825	2387
257	828	2381
258	830	2374
259	831	2367
260	834	2361
261	835	2352
262	836	2343
263	837	2335
264	843	2339
265	845	2333
266	847	2326
